Flash map:

ID	Name			Offset		Length		
0	bct			0x0		0x80000
1	mb1			0x80000		0x40000
2	mb1-b			0xc0000		0x40000
3	mb1-bct			0x100000	0x40000
4	mb1-bct-b		0x140000	0x40000
5	reserved		0x180000	0x40000
6	mb2			0x1c0000	0x40000
7	mb2-b			0x200000	0x40000
8	mts1			0x240000	0x40000
9	mts1-b			0x280000	0x40000
10	mts2			0x2c0000	0x280000
11	mts2-b			0x540000	0x280000
12	bpmp-fw			0x840000	0xc0000
13	bpmp-fw-b		0x900000	0xc0000
14	bpmp-fw-dtb		0x9c0000	0x40000
15	bpmp-fw-dtb-b		0xa00000	0x40000
16	sce-fw			0xa40000	0x40000
17	sce-fw-b		0xa80000	0x40000
18	adsp-fw			0xac0000	0x200000	
19	adsp-fw-b		0xcc0000	0x200000
20	cpu-bootloader		0xec0000	0x280000
21	cpu-bootloader		0xf00000	0x40000
22	secure-os		0xf40000	0x200000
23	secure-os-b		0x1140000	0x200000
24	eks			0x1340000	0x40000
25	eks-b			0x1380000	0x40000
26	env			0x13c0000	0x80000
27	recovery-linux-dtb	0x1440000	0x40000
28	kernel-a-dtb		0x1480000	0x40000
29	kernel-b-dtb		0x14c0000	0x40000
30	recovery-linux		0x1500000	0xb00000
31	kernel-a		0x2000000	0xc00000
32	kernel-a-initramfs	0x2c00000	0x300000
33	kernel-b		0x2f00000	0xc00000
34	kernel-b-initramfs	0x3b00000	0x500000
